source,target
gbvfi,post-rock
indie punk,industrial rock
indie punk,no wave
indie punk,post-punk
indie punk,post-rock
indie punk,slow core
indie rock,industrial rock
indie rock,no wave
indie rock,olympia wa indie
industrial rock,lo-fi
industrial rock,math rock
industrial rock,noise pop
industrial rock,nu gaze
industrial rock,olympia wa indie
industrial rock,post-rock
industrial rock,slow core
lo-fi,olympia wa indie
math rock,olympia wa indie
no wave,nu gaze
no wave,olympia wa indie
no wave,slow core
noise pop,olympia wa indie
noise rock,olympia wa indie
nu gaze,olympia wa indie
nu gaze,post-hardcore
nu gaze,post-punk
olympia wa indie,post-hardcore
olympia wa indie,post-punk
olympia wa indie,slow core
post-punk,slow core
riot grrrl,vancouver indie
riot grrrl,washington indie
gbvfi,olympia wa indie
gbvfi,riot grrrl
grunge,riot grrrl
appalachian folk,cosmic american
banjo,cosmic american
bluegrass,cosmic american
cosmic american,progressive bluegrass
classic garage rock,cosmic american
chinese traditional,pipa
alternative rock,deep new americana
deep new americana,power pop
south african alternative,south african electronic
doo-wop,philly soul
rock nacional,ska argentino
canadian punk,traditional ska
contemporary jazz,jazz blues
jazz blues,jazz guitar
christian a cappella,family gospel
christian a cappella,southern gospel
ambeat,underground rap
jazz rap,underground rap
braindance,breakcore
braindance,drill and bass
braindance,hardcore techno
breakcore,hardcore techno
breakcore,intelligent dance music
drill and bass,hardcore techno
hardcore techno,intelligent dance music
deep groove house,speed garage
deep house,speed garage
disco house,speed garage
edm,speed garage
house,speed garage
speed garage,tech house
arab pop,azeri traditional
arab pop,nasheed
azeri traditional,nasheed
early music,spanish renaissance
baroque,spanish baroque
boston punk,ska
boston rock,ska
boston rock,ska punk
dirty texas rap,hyphy
classic rock,neo classical metal
chinese audiophile,classic mandopop
chinese audiophile,taiwan campus folk
chinese audiophile,vintage chinese pop
c-pop,fo jing
classic mandopop,fo jing
fo jing,vintage chinese pop
acoustic blues,boogie-woogie
acoustic blues,new orleans blues
chanson,french movie tunes
blues,power blues-rock
blues rock,power blues-rock
electric blues,power blues-rock
modern blues,power blues-rock
modern blues rock,power blues-rock
jazz saxophone,vintage jazz
big band,vaudeville
ragtime,vaudeville
vaudeville,vintage jazz
bebop,hammond organ
bebop,jazz organ
contemporary post-bop,hammond organ
contemporary post-bop,jazz organ
cool jazz,hammond organ
cool jazz,jazz organ
hammond organ,hard bop
hammond organ,jazz
hammond organ,jazz blues
hard bop,jazz organ
jazz,jazz organ
jazz blues,jazz organ
amharic pop,ethiopian pop
europop,italian arena pop
alternative dance,danish indie
dance-punk,danish indie
danish indie,electronica
danish indie,experimental pop
danish indie,indietronica
danish indie,new rave
danish indie,nu disco
experimental pop,nu disco
ballroom,rumba
conscious hip hop,swedish hip hop
conscious hip hop,swedish reggae
conscious hip hop,swedish underground rap
swedish hip hop,swedish underground rap
swedish reggae,swedish underground rap
big beat,german pop
modern reggae,virgin islands reggae
dance-punk,rhode island indie
experimental,rhode island indie
experimental pop,post-hardcore
experimental pop,rhode island indie
freak folk,no wave
freak folk,post-hardcore
freak folk,post-punk
freak folk,rhode island indie
lo-fi,rhode island indie
math rock,no wave
math rock,post-punk
math rock,rhode island indie
no wave,noise rock
no wave,post-hardcore
no wave,post-rock
no wave,rhode island indie
post-punk,post-rock
post-punk,rhode island indie
post-rock,rhode island indie
jazz blues,stride
jazz blues,vintage jazz
hard bop,jazz guitar
jazz guitar,stride
rumba,spanish pop
british indie rock,north east england indie
dance-punk,north east england indie
garage rock,north east england indie
indie rock,north east england indie
new rave,north east england indie
one-person band,stomp pop
one-person band,tulsa indie
stomp pop,tulsa indie
irish pop,irish rock
irish pop,melancholia
chill lounge,deep chill
deep chill,relaxative
death metal,neo classical metal
melodic death metal,neo classical metal
melodic death metal,thrash metal
thai indie,thai indie pop
thai indie,thai pop
thai indie pop,thai pop
adoracion,salsa cristiana
latin christian,salsa cristiana
latin arena pop,spanish rock
dance rock,dusseldorf electronic
dance rock,electro
dance rock,krautrock
dusseldorf electronic,electro
dusseldorf electronic,krautrock
dusseldorf electronic,new romantic
dusseldorf electronic,new wave
dusseldorf electronic,proto-techno
dusseldorf electronic,synthpop
electro,krautrock
electro,new romantic
electro,new wave
electro,proto-techno
electro,synthpop
krautrock,new romantic
krautrock,new wave
krautrock,proto-techno
krautrock,synthpop
mathcore,trancecore
stockholm indie,swedish indie pop
alternative roots rock,retro metal
alternative roots rock,stoner metal
alternative roots rock,stoner rock
grunge pop,wrestling
brooklyn indie,e6fi
axe,sertanejo pop
classical,medieval
early music,medieval
crossover thrash,melodic thrash
crossover thrash,power metal
german metal,melodic thrash
german thrash metal,hard rock
german thrash metal,melodic thrash
german thrash metal,power metal
melodic thrash,power metal
abstract hip hop,portland hip hop
portland hip hop,underground rap
dixieland,easy listening
dixieland,lounge
dixieland,space age pop
easy listening,jazz trumpet
easy listening,new orleans jazz
jazz trumpet,space age pop
lounge,new orleans jazz
new orleans jazz,space age pop
cantautor,spanish pop rock
spanish pop rock,spanish rock
bolero,romantico
pagode,sertanejo tradicional
sertanejo,sertanejo tradicional
sertanejo pop,sertanejo tradicional
sertanejo tradicional,sertanejo universitario
croatian pop,croatian rock
croatian pop,yugoslav rock
croatian rock,yugoslav rock
ambient psychill,psychedelic trance
ambient psychill,world fusion
anadolu rock,karadeniz halk muzigi
anadolu rock,turkish alternative
anadolu rock,turkish alternative rock
anadolu rock,turkish rock
karadeniz halk muzigi,turkish alternative
karadeniz halk muzigi,turkish alternative rock
karadeniz halk muzigi,turkish rock
turkish alternative,turkish alternative rock
turkish alternative,turkish rock
turkish alternative rock,turkish rock
jazz funk,minneapolis sound
indonesian jazz,indonesian pop
instrumental post-rock,swiss rock
post-rock,swiss rock
bebop,jazz vibraphone
contemporary jazz,jazz vibraphone
contemporary post-bop,jazz vibraphone
cool jazz,jazz vibraphone
ecm-style jazz,jazz funk
ecm-style jazz,jazz vibraphone
jazz,jazz vibraphone
jazz funk,jazz vibraphone
jazz fusion,jazz vibraphone
c-pop,hong kong hip hop
classic cantopop,hong kong hip hop
neo mellow,swedish indie rock
britpop,southampton indie
irish rock,underground power pop
chinese traditional,guzheng
french pop,variete francaise
french rock,variete francaise
japanese garage rock,japanese rockabilly
japanese garage rock,surf music
japanese rockabilly,surf music
cyberpunk,hardcore techno
digital hardcore,hardcore techno
hardcore techno,industrial rock
adult standards,chicago soul
chicago soul,rock-and-roll
chicago soul,rockabilly
classic soul,rockabilly
quiet storm,rock-and-roll
quiet storm,rockabilly
folk,honky tonk
folk,yodeling
honky tonk,rock-and-roll
honky tonk,yodeling
rock-and-roll,traditional country
rock-and-roll,yodeling
crunk,nc hip hop
dirty south rap,nc hip hop
gangster rap,nc hip hop
hip pop,nc hip hop
australian pop,australian talent show
australian talent show,post-teen pop
chicago house,deep disco
chicago house,disco
chicago house,funk
chicago house,post-disco
deep disco,funk
dayton indie,emo
dayton indie,neon pop punk
dayton indie,pop punk
dayton indie,post-hardcore
dayton indie,screamo
album rock,texas blues
instrumental rock,modern blues
instrumental rock,texas blues
detroit house,electro jazz
urban contemporary,vocal jazz
candy pop,country
candy pop,country dawn
crunk,miami hip hop
acoustic punk,philly indie
acoustic punk,ska punk
anti-folk,gypsy punk
gypsy punk,philly indie
gypsy punk,ska punk
philly indie,ska punk
alternative metal,noise rock
alternative rock,doom metal
alternative rock,sludge metal
doom metal,grunge
doom metal,industrial rock
doom metal,noise rock
doom metal,post-hardcore
doom metal,punk
garage rock,industrial rock
garage rock,post-metal
grunge,industrial rock
grunge,post-metal
grunge,sludge metal
grunge,stoner metal
industrial rock,noise rock
industrial rock,post-hardcore
industrial rock,post-metal
industrial rock,sludge metal
industrial rock,stoner metal
industrial rock,stoner rock
noise rock,nu metal
noise rock,post-metal
noise rock,sludge metal
noise rock,stoner metal
noise rock,stoner rock
post-hardcore,stoner metal
post-hardcore,stoner rock
post-metal,punk
punk,sludge metal
punk,stoner metal
punk,stoner rock
blues rock,jamgrass
folk rock,jamgrass
experimental rock,melancholia
experimental rock,new romantic
fourth world,new romantic
fourth world,new wave
latintronica,nu-cumbia
latin alternative,tijuana electronic
latin rock,tijuana electronic
mexican indie,tijuana electronic
mexican rock,tijuana electronic
rock en espanol,tijuana electronic
arab folk,egyptian traditional
arab folk,nubian traditional
egyptian traditional,nubian traditional
egyptian traditional,oud
egyptian traditional,world
nubian traditional,oud
nubian traditional,world
banjo,new england americana
bluegrass,new england americana
bluegrass gospel,new england americana
new england americana,old-time
new england americana,progressive bluegrass
adult standards,canadian country
bubblegum pop,canadian country
bubblegum pop,canadian pop
canadian pop,folk rock
ecuadorian pop,mexican pop
ecuadorian pop,rock en espanol
stomp pop,welsh indie
acoustic punk,columbus ohio indie
anti-folk,columbus ohio indie
columbus ohio indie,folk punk
dembow,latin hip hop
bouncy house,deep happy hardcore
deep happy hardcore,happy hardcore
australian children's music,nursery
african reggae,afropop
african reggae,world
dance-punk,gothenburg indie
dream pop,gothenburg indie
electroclash,gothenburg indie
experimental pop,gothenburg indie
gothenburg indie,neo-synthpop
slow core,tampa indie
metropopolis,swedish indie rock
alternative country,canadian country
canadian country,roots americana
canadian country,texas country
canadian singer-songwriter,roots americana
funk metal,ska
funk metal,ska punk
funk rock,ska
funk rock,ska punk
australian reggae fusion,reggae rock
one-person band,wonky
contemporary post-bop,nu jazz
cool jazz,nu jazz
cool jazz,swedish jazz
ecm-style jazz,nu jazz
jazz,nu jazz
jazz,swedish jazz
jazz fusion,nu jazz
jazz trio,nu jazz
deep soundtrack,latin soundtrack
jazz brass,jazz trombone
chinese classical performance,classical
chinese classical performance,classical performance
chinese classical performance,classical piano
banjo,country rock
country rock,jamgrass
jamgrass,traditional folk
chanson,classic soundtrack
chanson,french soundtrack
classic soundtrack,french jazz
french jazz,french soundtrack
dreamo,hampton roads indie
emo,hampton roads indie
hampton roads indie,piano rock
hampton roads indie,pop punk
acoustic pop,la pop
acoustic pop,transpop
la pop,neo mellow
la pop,transpop
neo mellow,transpop
pop rock,transpop
electronica,lounge
lounge,nu jazz
adult standards,brazilian modern jazz
adult standards,piano mpb
bossa nova,brazilian modern jazz
bossa nova,contemporary vocal jazz
brazilian modern jazz,contemporary vocal jazz
brazilian modern jazz,lounge
brazilian modern jazz,piano mpb
brazilian modern jazz,vocal jazz
contemporary vocal jazz,piano mpb
